scenario_id,design,run_count,terminal_jobs_mean,terminal_jobs_std,terminal_throughput_rps_mean,terminal_throughput_rps_std,terminal_throughput_cv
design_a_s_low_submit_heavy,A_microservices,3,81.666667,2.309401,1.361111,0.03849,0.028278
design_b_s_low_submit_heavy,B_monolith,3,80.333333,2.081666,1.338889,0.034695,0.025913
design_a_s_low_poll_heavy,A_microservices,3,51.666667,0.57735,0.861111,0.009623,0.011175
design_b_s_low_poll_heavy,B_monolith,3,52.666667,2.309401,0.877778,0.03849,0.04385
design_a_s_low_balanced,A_microservices,3,85.0,1.0,1.416667,0.016667,0.011765
design_b_s_low_balanced,B_monolith,3,86.0,1.0,1.433333,0.016667,0.011628
design_a_s_medium_submit_heavy,A_microservices,3,126.333333,93.724774,2.105556,1.562079,0.741885
design_b_s_medium_submit_heavy,B_monolith,3,344.333333,0.57735,5.738889,0.009623,0.001677
design_a_s_medium_poll_heavy,A_microservices,3,108.666667,84.293139,1.811111,1.404885,0.775704
design_b_s_medium_poll_heavy,B_monolith,3,210.0,4.358899,3.5,0.072648,0.020757
design_a_s_medium_balanced,A_microservices,3,349.333333,7.094599,5.822222,0.118243,0.020309
design_b_s_medium_balanced,B_monolith,3,349.666667,8.621678,5.827778,0.143694,0.024657
design_a_s_high_submit_heavy,A_microservices,3,180.0,86.608314,3.0,1.443472,0.481157
design_b_s_high_submit_heavy,B_monolith,3,666.333333,7.637626,11.105556,0.127294,0.011462
design_a_s_high_poll_heavy,A_microservices,3,119.666667,8.736895,1.994444,0.145615,0.07301
design_b_s_high_poll_heavy,B_monolith,3,406.666667,13.051181,6.777778,0.21752,0.032093
design_a_s_high_balanced,A_microservices,3,232.0,6.244998,3.866666,0.104083,0.026918
design_b_s_high_balanced,B_monolith,3,689.666667,16.502525,11.494445,0.275042,0.023928
